romExtensionlessFileName,romFileName,romSize,romHashCRC,romHashMD5,romHashSHA1
"Asterix (Europe) (En,Fr,De,Es,It)","Asterix (Europe) (En,Fr,De,Es,It).nes",131072,ED77B453,87CF2DBD01609ED6FFF6A1A022F41C72,7B0B8D19BD56AA255501852136828300EE2D2457
"Astro Fang - Super Machine (Japan)","Astro Fang - Super Machine (Japan).nes",262144,E949EF8A,3F8B65930EA2CC7844AD7DABC5F41200,83661A1A58A5AD8285EAFFBBBE42C4A25AA211B1
"Astro Robo Sasa (Japan)","Astro Robo Sasa (Japan).nes",40960,2DC05A6F,27A89F079BCA542E3AA36108A390A681,1FCAB3D48706FD7C9E8EE0F06B7A111D9C888F77
"Astyanax (USA)","Astyanax (USA).nes",262144,054CB4EB,94EAFD1D52C7296CD5B9DAD6316E5976,AC57D9DBE0AB3EBD74808FB51CBA1656955E702F
"Astyanax (USA) (Beta)","Astyanax (USA) (Beta).nes",262144,A46D7F02,2FE97269D98D064DA28DC20B5C2A9533,A029442EDDA3A743B8DE2B6627030563ABC6206A
"Astyanax (Europe)","Astyanax (Europe).nes",262144,B68F9814,631DF04B0DBA04E7D469EE5F0E91A3DE,A3D9950DBCA728D9EAB6C3B288E3F2C79F4C5701
"Athena (Japan)","Athena (Japan).nes",131072,8BCDE59A,A473ADD2748FFF337AC22993338D3EDC,DFE253487159220F1A0E293A63B7B5045626FD19
"Athena (USA)","Athena (USA).nes",131072,27DDF227,924D290AEF716AE833DE99D460E0FD37,64687D063CCBCF7B4C49604E0612A4D331D2AA88
"Athletic World (Europe)","Athletic World (Europe).nes",65536,E592F53A,5884D6F8EBE71B16E28D3D93C1C41108,6D0ADBBF93D948004E33CDF3B1CCAC1FB60D65C6
"Athletic World (USA)","Athletic World (USA).nes",65536,1771EA8F,930371365F634BECEFA5538D0C3065C5,88B94AB854DC84FA375B778F5302987DB0EB63DA
"Atlantis no Nazo (Japan) (Sample)","Atlantis no Nazo (Japan) (Sample).nes",49152,5062A34B,913DA20767F850BE58D7AFCF7B50D010,4094D8372893D3B7069BA3A5427B5CA731228500
"Atlantis no Nazo (Japan)","Atlantis no Nazo (Japan).nes",49152,F808AF60,4E7CE109DF6514A3C818306C38ED5FB9,B933C1E9D5FF18D6BC18EBAA5525B8DA1B57A5FB
"Attack Animal Gakuen (Japan)","Attack Animal Gakuen (Japan).nes",131072,7D55CF29,13E451BCF72A98EBBACDC9EEE8D95948,02A4F14F2E697C6BB1B42ACFC1F4A9D28EFB3D7C
